name,cost,position,points,ppd,roi,actual
Brandon Saad,2230000,F,28,79642.86,0.000012556,LW
Joe Pavelski,2470000,C,31,79677.42,0.000012551,C
Brad Hunt,1120000,D,14,80000.00,0.000012500,LD
Trevor Moore,1120000,F,14,80000.00,0.000012500,LW
Reilly Smith,3130000,F,39,80256.41,0.000012460,LW
Mark Scheifele,4180000,C,52,80384.62,0.000012440,C
Dominik Kubalik,3140000,F,39,80512.82,0.000012420,LW
Dmitry Orlov,1530000,D,19,80526.32,0.000012418,LD
Matthew Highmore,1050000,F,13,80769.23,0.000012381,RW
Evgeni Malkin,4610000,C,57,80877.19,0.000012364,C
Mark Giordano,2520000,D,31,81290.32,0.000012302,LD
Rasmus Ristolainen,2440000,D,30,81333.33,0.000012295,RD
Kevin Stenlund,1140000,C,14,81428.57,0.000012281,C
Carter Verhaeghe,1140000,F,14,81428.57,0.000012281,LW
Anthony Cirelli,2960000,C,36,82222.22,0.000012162,C
Jake DeBrusk,2550000,F,31,82258.06,0.000012157,LW
Nick Suzuki,2880000,C,35,82285.71,0.000012153,C
Alex Pietrangelo,2720000,D,33,82424.24,0.000012132,RD
Neal Pionk,2640000,D,32,82500.00,0.000012121,RD
Tyson Jost,1650000,F,20,82500.00,0.000012121,C/RW
Auston Matthews,4960000,C,60,82666.67,0.000012097,C
Mason Appleton,1080000,F,13,83076.92,0.000012037,RW
Claude Giroux,3990000,F,48,83125.00,0.000012030,C/LW
Oliver Kylington,1000000,D,12,83333.33,0.000012000,LD
Andrew Peeke,1000000,D,12,83333.33,0.000012000,RD
Matt Benning,1000000,D,12,83333.33,0.000012000,RD
Matt Luff,1000000,F,12,83333.33,0.000012000,RW
Nathan Bastian,1000000,F,12,83333.33,0.000012000,RW
Brett Seney,1000000,F,12,83333.33,0.000012000,LW
Sven Baertschi,1000000,F,12,83333.33,0.000012000,LW
Jordan Greenway,1920000,F,23,83478.26,0.000011979,LW
Matthew Tkachuk,4210000,F,50,84200.00,0.000011876,LW/RW
Brady Skjei,1860000,D,22,84545.45,0.000011828,LD
John Tavares,4570000,C,54,84629.63,0.000011816,C
Ryan Hartman,1610000,F,19,84736.84,0.000011801,RW
Alex Goligoski,1950000,D,23,84782.61,0.000011795,LD
Ben Hutton,1190000,D,14,85000.00,0.000011765,LD
Vincent Trocheck,2640000,C,31,85161.29,0.000011742,C
Robby Fabbri,2130000,F,25,85200.00,0.000011737,LW
Tomas Hertl,3580000,C,42,85238.10,0.000011732,C
Mikael Backlund,2900000,C,34,85294.12,0.000011724,C
David Perron,3500000,F,41,85365.85,0.000011714,RW
Zach Sanford,2220000,F,26,85384.62,0.000011712,LW
Brendan Gallagher,3160000,F,37,85405.41,0.000011709,RW
Evgenii Dadonov,3080000,F,36,85555.56,0.000011688,RW
Jordan Weal,1200000,F,14,85714.29,0.000011667,C/RW
Tyler Toffoli,3180000,F,37,85945.95,0.000011635,RW
Travis Hamonic,1120000,D,13,86153.85,0.000011607,RD
Nathan Gerbe,1120000,F,13,86153.85,0.000011607,RW
Michael Raffl,1300000,F,15,86666.67,0.000011538,LW
Filip Forsberg,3300000,F,38,86842.11,0.000011515,LW
Luke Kunin,2260000,F,26,86923.08,0.000011504,LW
Dylan Gambrell,1130000,F,13,86923.08,0.000011504,C/RW
Brayden Schenn,3740000,C,43,86976.74,0.000011497,C
Bryan Rust,3570000,F,41,87073.17,0.000011485,RW
Jake Virtanen,2700000,F,31,87096.77,0.000011481,RW
Tyler Ennis,2440000,F,28,87142.86,0.000011475,LW
Anton Stralman,1310000,D,15,87333.33,0.000011450,RD
Josh Manson,1050000,D,12,87500.00,0.000011429,RD
Nick Bonino,2200000,C,25,88000.00,0.000011364,C
Anthony Mantha,3610000,F,41,88048.78,0.000011357,RW
Patrik Laine,4240000,F,48,88333.33,0.000011321,RW
Paul Stastny,2670000,C,30,89000.00,0.000011236,C
Rickard Rakell,3030000,F,34,89117.65,0.000011221,LW
Roman Josi,4100000,D,46,89130.43,0.000011220,LD
Noah Gregor,1070000,F,12,89166.67,0.000011215,RW
Marcus Sorensen,1250000,F,14,89285.71,0.000011200,LW
Brenden Dillon,1340000,D,15,89333.33,0.000011194,LD
Oliver Ekman-Larsson,2600000,D,29,89655.17,0.000011154,LD
Justin Braun,1260000,D,14,90000.00,0.000011111,RD
Erik Gudbranson,1080000,D,12,90000.00,0.000011111,RD
Marco Scandella,1080000,D,12,90000.00,0.000011111,LD
Robert Hagg,1180000,D,13,90769.23,0.000011017,LD
Mario Ferraro,1090000,D,12,90833.33,0.000011009,LD
Victor Rask,1090000,C,12,90833.33,0.000011009,C
Radim Simek,1000000,D,11,90909.09,0.000011000,LD
Zach Bogosian,1000000,D,11,90909.09,0.000011000,RD
Jakob Silfverberg,2920000,F,32,91250.00,0.000010959,RW
Colton Parayko,2290000,D,25,91600.00,0.000010917,RD
Ryan Getzlaf,2750000,C,30,91666.67,0.000010909,C
David Kampf,1290000,C,14,92142.86,0.000010853,C
Leo Komarov,1290000,F,14,92142.86,0.000010853,RW
Michael Frolik,1200000,F,13,92307.69,0.000010833,RW
Lars Eller,2680000,C,29,92413.79,0.000010821,C
Bo Horvat,3790000,C,41,92439.02,0.000010818,C
T.J. Oshie,3330000,F,36,92500.00,0.000010811,RW
Olli Maatta,1480000,D,16,92500.00,0.000010811,LD
Jeff Skinner,2780000,F,30,92666.67,0.000010791,LW/RW
Travis Boyd,1020000,C,11,92727.27,0.000010784,C
Johan Larsson,1300000,C,14,92857.14,0.000010769,C
Zack Kassian,2340000,F,25,93600.00,0.000010684,RW
Jordan Oesterle,1030000,D,11,93636.36,0.000010680,LD
Alex Killorn,3010000,F,32,94062.50,0.000010631,LW
Michael Grabner,1130000,F,12,94166.67,0.000010619,RW
Connor Brown,2940000,F,31,94838.71,0.000010544,RW
Jonathan Marchessault,3710000,F,39,95128.21,0.000010512,RW
Alex Chiasson,1620000,F,17,95294.12,0.000010494,RW
Radek Faksa,1910000,C,20,95500.00,0.000010471,C
Nick Cousins,2010000,F,21,95714.29,0.000010448,LW
Jake McCabe,1150000,D,12,95833.33,0.000010435,LD
Alexander Edler,2400000,D,25,96000.00,0.000010417,LD
Craig Smith,2400000,F,25,96000.00,0.000010417,RW
Tyler Motte,1250000,F,13,96153.85,0.000010400,LW
Brandon Carlo,1540000,D,16,96250.00,0.000010390,RD
Jaden Schwartz,3370000,F,35,96285.71,0.000010386,LW
Carson Soucy,1060000,D,11,96363.64,0.000010377,LD
Kyle Palmieri,3280000,F,34,96470.59,0.000010366,RW
Miles Wood,2030000,F,21,96666.67,0.000010345,LW
Jason Dickinson,1740000,C,18,96666.67,0.000010345,C
Andy Greene,1160000,D,12,96666.67,0.000010345,LD
Timo Meier,4160000,F,43,96744.19,0.000010337,LW
Frank Vatrano,2710000,F,28,96785.71,0.000010332,LW
Lawson Crouse,2420000,F,25,96800.00,0.000010331,LW
Anders Lee,3390000,F,35,96857.14,0.000010324,LW
Shea Weber,2620000,D,27,97037.04,0.000010305,RD
Alex Ovechkin,5250000,F,54,97222.22,0.000010286,LW
Jonathan Toews,3310000,C,34,97352.94,0.000010272,C
Justin Faulk,1850000,D,19,97368.42,0.000010270,RD
Patrice Bergeron,4120000,C,42,98095.24,0.000010194,C
Justin Holl,1280000,D,13,98461.54,0.000010156,RD
Zach Parise,3070000,F,31,99032.26,0.000010098,LW
Adam Henrique,3170000,C,32,99062.50,0.000010095,C
Erik Johnson,1390000,D,14,99285.71,0.000010072,RD
Erik Cernak,1490000,D,15,99333.33,0.000010067,RD
Frans Nielsen,1200000,C,12,100000.00,0.000010000,C
Josh Mahura,1000000,D,10,100000.00,0.000010000,LD
Jeremy Lauzon,1000000,D,10,100000.00,0.000010000,LD
Calvin de Haan,1000000,D,10,100000.00,0.000010000,LD
Conor Timmins,1000000,D,10,100000.00,0.000010000,RD
Andrej Sekera,1000000,D,10,100000.00,0.000010000,LD
Marc Staal,1000000,D,10,100000.00,0.000010000,LD
Brett Kulak,1000000,D,10,100000.00,0.000010000,LD
Jordie Benn,1000000,D,10,100000.00,0.000010000,LD
Nick Jensen,1000000,D,10,100000.00,0.000010000,RD
Nathan Beaulieu,1000000,D,10,100000.00,0.000010000,LD
Brady Tkachuk,4010000,F,40,100250.00,0.000009975,LW
Radko Gudas,1410000,D,14,100714.29,0.000009929,RD
Christopher Tanev,1210000,D,12,100833.33,0.000009917,RD
Dustin Brown,2730000,F,27,101111.11,0.000009890,RW
Anthony Duclair,2760000,F,27,102222.22,0.000009783,RW
Vladislav Namestnikov,2660000,F,26,102307.69,0.000009774,LW
Ivan Barbashev,2050000,F,20,102500.00,0.000009756,C/LW
Evander Kane,4000000,F,39,102564.10,0.000009750,LW
Max Pacioretty,4720000,F,46,102608.70,0.000009746,LW
Chris Kreider,3490000,F,34,102647.06,0.000009742,LW
Barclay Goodrow,2380000,C,23,103478.26,0.000009664,C
Zemgus Girgensons,1660000,F,16,103750.00,0.000009639,LW
Mats Zuccarello,1870000,F,18,103888.89,0.000009626,RW
Eric Robinson,1250000,F,12,104166.67,0.000009600,LW
Nic Dowd,1370000,C,13,105384.62,0.000009489,C
Casey Cizikas,1690000,C,16,105625.00,0.000009467,C
Ryan Graves,2010000,D,19,105789.47,0.000009453,LD
Mitchell Stephens,1060000,F,10,106000.00,0.000009434,C/RW
Alex Tuch,2780000,F,26,106923.08,0.000009353,RW
Pierre-Edouard Bellemare,1390000,C,13,106923.08,0.000009353,C
Adam Larsson,1070000,D,10,107000.00,0.000009346,RD
Derick Brassard,2250000,C,21,107142.86,0.000009333,C
Tobias Rieder,1180000,F,11,107272.73,0.000009322,LW
Ondrej Palat,3220000,F,30,107333.33,0.000009317,LW
Charlie Coyle,2910000,C,27,107777.78,0.000009278,C
Matt Roy,1730000,D,16,108125.00,0.000009249,RD
Sean Kuraly,1950000,C,18,108333.33,0.000009231,C
Brad Richardson,1300000,C,12,108333.33,0.000009231,C
Sammy Blais,1300000,F,12,108333.33,0.000009231,LW
Zach Aston-Reese,1630000,F,15,108666.67,0.000009202,LW
David Pastrnak,5000000,F,46,108695.65,0.000009200,RW
Michael Dal Colle,1200000,F,11,109090.91,0.000009167,LW
Brandon Sutter,1200000,C,11,109090.91,0.000009167,C
Nick Paul,1970000,C,18,109444.44,0.000009137,C
Tom Wilson,3840000,F,35,109714.29,0.000009115,RW
James Neal,2310000,F,21,110000.00,0.000009091,LW
Ian Cole,1760000,D,16,110000.00,0.000009091,LD
Artturi Lehkonen,2540000,F,23,110434.78,0.000009055,RW
Dylan DeMelo,1110000,D,10,111000.00,0.000009009,RD
Jason Demers,1000000,D,9,111111.11,0.000009000,RD
Scott Harrington,1000000,D,9,111111.11,0.000009000,LD
Jon Merrill,1000000,D,9,111111.11,0.000009000,LD
Connor Carrick,1000000,D,9,111111.11,0.000009000,RD
Blake Comeau,1450000,F,13,111538.46,0.000008966,RW
Adam Lowry,1340000,C,12,111666.67,0.000008955,C
Jamie Benn,3800000,F,34,111764.71,0.000008947,C/LW
Derek Grant,1680000,C,15,112000.00,0.000008929,C
Loui Eriksson,1120000,F,10,112000.00,0.000008929,RW
Kris Russell,1010000,D,9,112222.22,0.000008911,LD
Carl Soderberg,2590000,C,23,112608.70,0.000008880,C
Derek Stepan,2820000,C,25,112800.00,0.000008865,C
Jordan Staal,2490000,C,22,113181.82,0.000008835,C
Tomas Nosek,1360000,C,12,113333.33,0.000008824,C
Joel Edmundson,1590000,D,14,113571.43,0.000008805,LD
Jesper Fast,2290000,F,20,114500.00,0.000008734,RW
David Savard,1610000,D,14,115000.00,0.000008696,RD
*Emil Bemstrom,1500000,F,13,115384.62,0.000008667,RW
Andrew Cogliano,1270000,F,11,115454.55,0.000008661,LW
Jujhar Khaira,1390000,F,12,115833.33,0.000008633,LW
Nick Holden,1420000,D,12,118333.33,0.000008451,LD
Patric Hornqvist,2970000,F,25,118800.00,0.000008418,RW
Joel Armia,2410000,F,20,120500.00,0.000008299,RW
Corey Perry,1330000,F,11,120909.09,0.000008271,RW
Wayne Simmonds,2460000,F,20,123000.00,0.000008130,RW
Riley Nash,1230000,C,10,123000.00,0.000008130,C
Scott Mayfield,1360000,D,11,123636.36,0.000008088,RD
Trevor Lewis,1240000,F,10,124000.00,0.000008065,RW
Cal Clutterbuck,1240000,F,10,124000.00,0.000008065,RW
Marcus Foligno,2360000,F,19,124210.53,0.000008051,LW
Darren Helm,1500000,F,12,125000.00,0.000008000,LW
Connor Clifton,1000000,D,8,125000.00,0.000008000,RD
John Moore,1000000,D,8,125000.00,0.000008000,LD
Kurtis MacDermid,1000000,D,8,125000.00,0.000008000,LD
Kale Clague,1000000,D,8,125000.00,0.000008000,LD
Braydon Coburn,1000000,D,8,125000.00,0.000008000,LD
Jacob Middleton,1000000,D,8,125000.00,0.000008000,LD
Trevor van Riemsdyk,1000000,D,8,125000.00,0.000008000,RD
Austin Czarnik,1000000,F,8,125000.00,0.000008000,RW
Sam Lafferty,1260000,F,10,126000.00,0.000007937,RW
Jean-Gabriel Pageau,3550000,C,28,126785.71,0.000007887,C
Austin Wagner,1780000,F,14,127142.86,0.000007865,LW/RW
Josh Archibald,2170000,F,17,127647.06,0.000007834,RW
Brendan Lemieux,2060000,F,16,128750.00,0.000007767,LW
Dmitry Kulikov,1030000,D,8,128750.00,0.000007767,LD
Ryan Carpenter,1550000,F,12,129166.67,0.000007742,C/RW
Nick Foligno,3110000,F,24,129583.33,0.000007717,LW
Tyler Pitlick,1820000,F,14,130000.00,0.000007692,LW/RW
David Backes,1040000,F,8,130000.00,0.000007692,RW
Karson Kuhlman,1050000,F,8,131250.00,0.000007619,RW
Jeff Carter,2630000,F,20,131500.00,0.000007605,RW
Connor Murphy,1980000,D,15,132000.00,0.000007576,RD
Kyle Clifford,1730000,F,13,133076.92,0.000007514,LW
Jamie Oleksiak,1200000,D,9,133333.33,0.000007500,LD
Joakim Nordstrom,1200000,F,9,133333.33,0.000007500,LW
William Carrier,2140000,F,16,133750.00,0.000007477,LW
Michael Del Zotto,1070000,D,8,133750.00,0.000007477,LD
Boone Jenner,2990000,C,22,135909.09,0.000007358,C
Zack Smith,1230000,F,9,136666.67,0.000007317,C/LW
Blake Coleman,3720000,F,27,137777.78,0.000007258,LW
Patrick Marleau,1670000,F,12,139166.67,0.000007186,LW
Patrik Nemeth,1140000,D,8,142500.00,0.000007018,LD
Niklas Hjalmarsson,1000000,D,7,142857.14,0.000007000,LD
Brendan Smith,1000000,D,7,142857.14,0.000007000,LD
Ron Hainsey,1000000,D,7,142857.14,0.000007000,LD
Josh Brown,1000000,D,7,142857.14,0.000007000,RD
Robert Bortuzzo,1000000,D,7,142857.14,0.000007000,RD
Carl Gunnarsson,1000000,D,7,142857.14,0.000007000,LD
Andreas Borgman,1000000,D,7,142857.14,0.000007000,RD
Derek Forbort,1000000,D,7,142857.14,0.000007000,LD
Dmytro Timashov,1150000,F,8,143750.00,0.000006957,LW/RW
Noel Acciari,2450000,C,17,144117.65,0.000006939,C
Curtis Lazar,1170000,C,8,146250.00,0.000006838,C
Colton Sceviour,1790000,F,12,149166.67,0.000006704,RW
Stefan Noesen,1210000,F,8,151250.00,0.000006612,RW
Ben Chiarot,2270000,D,15,151333.33,0.000006608,LD
Milan Lucic,2300000,F,15,153333.33,0.000006522,LW
Nikita Zaitsev,1240000,D,8,155000.00,0.000006452,RD
Zdeno Chara,1250000,D,8,156250.00,0.000006400,LD
Nate Thompson,1410000,C,9,156666.67,0.000006383,C
Brandon Tanev,3050000,F,19,160526.32,0.000006230,RW
Luke Glendening,1640000,C,10,164000.00,0.000006098,C
Brayden McNabb,1660000,D,10,166000.00,0.000006024,LD
Rasmus Sandin,1000000,D,6,166666.67,0.000006000,LD
Evgeny Svechnikov,1000000,F,6,166666.67,0.000006000,RW
Eeli Tolvanen,1000000,F,6,166666.67,0.000006000,RW
Chris Wagner,1840000,F,11,167272.73,0.000005978,RW
Carter Rowney,2040000,F,12,170000.00,0.000005882,RW
Jay Beagle,1190000,C,7,170000.00,0.000005882,C
Kevin Rooney,1200000,C,7,171428.57,0.000005833,C
Luca Sbisa,1030000,D,6,171666.67,0.000005825,LD
Garnet Hathaway,2070000,F,12,172500.00,0.000005797,RW
Ryan Reaves,2080000,F,12,173333.33,0.000005769,RW
Phillip Di Giuseppe,1040000,F,6,173333.33,0.000005769,LW/RW
Cedric Paquette,2120000,C,12,176666.67,0.000005660,C
Jack Johnson,1420000,D,8,177500.00,0.000005634,LD
Gustav Nyquist,2530000,F,14,180714.29,0.000005534,LW
John Hayden,1090000,F,6,181666.67,0.000005505,RW
Vladimir Tarasenko,3670000,F,20,183500.00,0.000005450,RW
Tyler Seguin,3690000,C,20,184500.00,0.000005420,C
Nicolas Deslauriers,1490000,F,8,186250.00,0.000005369,LW
Mark Borowiecki,1910000,D,10,191000.00,0.000005236,LD
Kevan Miller,1000000,D,5,200000.00,0.000005000,RD
Dean Kukan,1000000,D,5,200000.00,0.000005000,LD
Alex Biega,1000000,D,5,200000.00,0.000005000,RD
Juuso Riikola,1000000,D,5,200000.00,0.000005000,LD
Olli Juolevi,1000000,D,5,200000.00,0.000005000,LD
Trent Frederic,1000000,C,5,200000.00,0.000005000,C
Brandon Pirri,1000000,F,5,200000.00,0.000005000,LW
Jake Evans,1000000,C,5,200000.00,0.000005000,C
Michael McLeod,1000000,C,5,200000.00,0.000005000,C
Jonas Siegenthaler,1010000,D,5,202000.00,0.000004950,LD
Casey Mittelstadt,1020000,F,5,204000.00,0.000004902,LW
Anthony Bitetto,1030000,D,5,206000.00,0.000004854,LD
Matt Martin,1830000,F,8,228750.00,0.000004372,LW
Evan Rodrigues,1160000,C,5,232000.00,0.000004310,C
Mackenzie MacEachern,1210000,F,5,242000.00,0.000004132,LW
Matt Irwin,1000000,D,4,250000.00,0.000004000,LD
Jake Bean,1000000,D,4,250000.00,0.000004000,LD
Ian Mitchell,1000000,D,4,250000.00,0.000004000,RD
Dennis Cholowski,1000000,D,4,250000.00,0.000004000,LD
Greg Pateryn,1000000,D,4,250000.00,0.000004000,RD
Christian Jaros,1000000,D,4,250000.00,0.000004000,RD
Chad Ruhwedel,1000000,D,4,250000.00,0.000004000,RD
Dryden Hunt,1000000,F,4,250000.00,0.000004000,LW
John Quenneville,1000000,F,4,250000.00,0.000004000,C/LW
Logan O'Connor,1000000,F,4,250000.00,0.000004000,RW
Kieffer Bellows,1000000,F,4,250000.00,0.000004000,LW
Logan Brown,1010000,C,4,252500.00,0.000003960,C
Madison Bowey,1050000,D,4,262500.00,0.000003810,RD
Par Lindholm,1050000,C,4,262500.00,0.000003810,C
Zac Rinaldo,1070000,F,4,267500.00,0.000003738,LW
Joakim Ryan,1000000,D,3,333333.33,0.000003000,LD
Evan Bouchard,1000000,D,3,333333.33,0.000003000,RD
Luke Schenn,1000000,D,3,333333.33,0.000003000,RD
Jaret Anderson-Dolan,1000000,C,3,333333.33,0.000003000,C
Ryan Poehling,1000000,F,3,333333.33,0.000003000,LW
Klim Kostin,1000000,F,3,333333.33,0.000003000,LW
Ross Johnston,1100000,F,3,366666.67,0.000002727,LW
Adam Erne,1270000,F,3,423333.33,0.000002362,LW
Thomas Hickey,1000000,D,2,500000.00,0.000002000,LD
Carl Dahlstrom,1000000,D,2,500000.00,0.000002000,LD
Quinton Byfield,1000000,C,2,500000.00,0.000002000,C
Alex Formenton,1000000,F,2,500000.00,0.000002000,LW
Nick Seeler,1000000,D,1,1000000.00,0.000001000,LD
Joe Hicketts,1000000,D,1,1000000.00,0.000001000,LD
Louie Belpedio,1000000,D,1,1000000.00,0.000001000,RD
Clark Bishop,1000000,C,1,1000000.00,0.000001000,C
Andrew Ladd,1000000,F,1,1000000.00,0.000001000,LW